,hid,roomName,bedType,capacity,rackPrice,price,breakfast,features
1,536,Deluxe Double Room,1 queen bed,2,"THB 4,500","THB 4,500",Very good breakfast included; Non-refundable,Air conditioning; Attached bathroom; Flat-screen TV; Free WiFi; Tea/Coffee maker; Shower; Safe; TV; Telephone; Hairdryer; Bathrobe; Refrigerator; Free toiletries; DVD Player; Toilet; Microwave; Slippers; Satellite channels; Bathtub or shower; Laptop safe; Tile/Marble floor; Wake-up service; Electric kettle; Executive Lounge Access; Cleaning products; Towels; Linens; Toilet paper
2,536,Studio Suite,,2,"THB 4,500","THB 4,500",Very good breakfast included; Non-refundable,42 m²; City view; Flat-screen TV; Air conditioning; Bathtub; Attached bathroom; Free WiFi; View; TV; Telephone; DVD Player; Satellite channels; Laptop safe; Safe; Sitting area; Sofa; Dryer; Wardrobe or closet; Cleaning products; Shower; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bathtub or shower; Toilet paper; Tea/Coffee maker; Kitchenette; Refrigerator; Microwave; Kitchen; Dining area; Electric kettle; Kitchenware; Stovetop; Dining table; Wake-up service; Executive Lounge Access; Towels; Linens; More
3,536,Studio Suite,,2,"THB 4,900","THB 4,900",Very good breakfast included; Non-refundable,42 m²; City view; Flat-screen TV; Air conditioning; Bathtub; Attached bathroom; Free WiFi; View; TV; Telephone; DVD Player; Satellite channels; Laptop safe; Safe; Sitting area; Sofa; Dryer; Wardrobe or closet; Cleaning products; Shower; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bathtub or shower; Toilet paper; Tea/Coffee maker; Kitchenette; Refrigerator; Microwave; Kitchen; Dining area; Electric kettle; Kitchenware; Stovetop; Dining table; Wake-up service; Executive Lounge Access; Towels; Linens; More
4,536,One-Bedroom Suite,,2,"THB 4,900","THB 4,900",Very good breakfast included; Non-refundable,50 m²; City view; Flat-screen TV; Air conditioning; Bathtub; Attached bathroom; Free WiFi; View; TV; Telephone; DVD Player; Satellite channels; Laptop safe; Safe; Sitting area; Washing machine; Sofa; Dryer; Wardrobe or closet; Cleaning products; Shower; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bathtub or shower; Bidet; Toilet paper; Tea/Coffee maker; Kitchenette; Refrigerator; Microwave; Kitchen; Dining area; Electric kettle; Kitchenware; Stovetop; Dining table; Wake-up service; Executive Lounge Access; Towels; Linens; More
5,536,Two Bedroom Suite,,4,,,,
0,537,Standard Double Room,1 queen bed,2,"THB 1,680","THB 1,680",Very good breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,"30 m²; Balcony, City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; Balcony; Telephone; Satellite channels; Safe; Sitting area; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Dining area; Electric kettle; Dining table; Wake-up service; Towels; Linens"
1,537,Standard Double Room,1 queen bed,2,"THB 1,680","THB 1,680",Very good breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,"30 m²; Balcony, City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; Balcony; Telephone; Satellite channels; Safe; Sitting area; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Dining area; Electric kettle; Dining table; Wake-up service; Towels; Linens"
2,537,Standard Twin Room,2 twin beds,2,"THB 1,680","THB 1,680",Very good breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,"30 m²; Balcony, City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; Balcony; Telephone; Satellite channels; Safe; Sitting area; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Dining area; Electric kettle; Dining table; Wake-up service; Towels; Linens; More"
3,537,Standard Twin Room,2 twin beds,2,"THB 1,920","THB 1,920",Very good breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,"30 m²; Balcony, City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; Balcony; Telephone; Satellite channels; Safe; Sitting area; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Dining area; Electric kettle; Dining table; Wake-up service; Towels; Linens; More"
4,537,Superior Double Room,1 queen bed,2,"THB 1,920","THB 1,920",Very good breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,"35 m²; Balcony, City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; Balcony; Telephone; Satellite channels; Safe; Sitting area; Sofa; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Dining area; Electric kettle; Dining table; Wake-up service; Towels; Linens; More"
